,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
319,ru2001                        ,0,456,0,0.0,0,0.243533,2019-03-28
320,ru2003                        ,0,0,0,0.0,0,0.243533,2019-03-28
321,ru1905                        ,15600,17136,-2630,3211.624,336,0.270804,2019-03-29
322,ru1906                        ,696,2470,-136,280.43,0,0.233489,2019-03-29
323,ru1907                        ,4,444,4,2.988,0,0.333739,2019-03-29
324,ru1908                        ,0,220,0,0.0,0,0.333739,2019-03-29
325,ru1909                        ,1252,10436,456,691.232,0,0.237182,2019-03-29
326,ru1910                        ,0,180,0,0.0,0,0.237182,2019-03-29
327,ru1911                        ,0,166,0,0.0,0,0.243445,2019-03-29
328,ru2001                        ,2,458,2,0.48,0,0.243445,2019-03-29
329,ru2003                        ,0,0,0,0.0,0,0.243445,2019-03-29
330,ru1905                        ,5426,16802,-334,570.228,40,0.306017,2019-04-01
331,ru1906                        ,444,2374,-96,96.664,0,0.226009,2019-04-01
332,ru1907                        ,8,448,4,0.734,0,0.2137,2019-04-01
333,ru1908                        ,18,236,16,1.002,0,0.225063,2019-04-01
334,ru1909                        ,1066,10818,382,342.872,0,0.235582,2019-04-01
335,ru1910                        ,0,180,0,0.0,0,0.235582,2019-04-01
336,ru1911                        ,2,168,2,0.338,0,0.236464,2019-04-01
337,ru2001                        ,0,458,0,0.0,0,0.236464,2019-04-01
338,ru2003                        ,0,0,0,0.0,0,0.236464,2019-04-01
339,ru1905                        ,1892,16902,100,226.756,42,0.225845,2019-04-02
340,ru1906                        ,560,2376,2,20.248,0,0.22818,2019-04-02
341,ru1907                        ,0,448,0,0.0,0,0.22818,2019-04-02
342,ru1908                        ,0,236,0,0.0,0,0.236151,2019-04-02
343,ru1909                        ,758,11086,268,278.614,0,0.236151,2019-04-02
344,ru1910                        ,0,180,0,0.0,0,0.236151,2019-04-02
345,ru1911                        ,0,168,0,0.0,0,0.236151,2019-04-02
346,ru2001                        ,0,458,0,0.0,0,0.236151,2019-04-02
347,ru2003                        ,0,0,0,0.0,0,0.236151,2019-04-02
348,ru1905                        ,2556,16592,-310,244.886,70,0.18976,2019-04-03
349,ru1906                        ,526,2276,-100,35.838,0,0.223335,2019-04-03
350,ru1907                        ,0,448,0,0.0,0,0.223335,2019-04-03
351,ru1908                        ,0,236,0,0.0,0,0.228157,2019-04-03
352,ru1909                        ,636,11338,252,194.1,0,0.228157,2019-04-03
353,ru1910                        ,14,184,4,2.518,0,0.223429,2019-04-03
354,ru1911                        ,2,168,0,0.6,0,0.295771,2019-04-03
355,ru2001                        ,0,458,0,0.0,0,0.295771,2019-04-03
356,ru2003                        ,0,0,0,0.0,0,0.295771,2019-04-03
357,ru1905                        ,1664,16392,-200,223.75,0,0.174612,2019-04-04
358,ru1906                        ,400,2256,-20,19.586,0,0.20897,2019-04-04
359,ru1907                        ,0,448,0,0.0,0,0.20897,2019-04-04
360,ru1908                        ,0,236,0,0.0,0,0.226575,2019-04-04
361,ru1909                        ,406,11420,82,163.754,0,0.226575,2019-04-04
362,ru1910                        ,0,184,0,0.0,0,0.226575,2019-04-04
363,ru1911                        ,2,168,0,1.776,0,0.254937,2019-04-04
364,ru2001                        ,0,458,0,0.0,0,0.254937,2019-04-04
365,ru2003                        ,0,0,0,0.0,0,0.254937,2019-04-04
366,ru1905                        ,1590,15996,-396,201.582,2,0.194855,2019-04-08
367,ru1906                        ,188,2248,-8,86.592,0,0.23022,2019-04-08
368,ru1907                        ,0,448,0,0.0,0,0.23022,2019-04-08
369,ru1908                        ,0,236,0,0.0,0,0.237804,2019-04-08
370,ru1909                        ,1134,11586,166,445.13,0,0.237804,2019-04-08
371,ru1910                        ,0,184,0,0.0,0,0.237804,2019-04-08
372,ru1911                        ,0,168,0,0.0,0,0.237804,2019-04-08
373,ru2001                        ,0,458,0,0.0,0,0.237804,2019-04-08
374,ru2003                        ,0,0,0,0.0,0,0.237804,2019-04-08
375,ru1905                        ,1570,15864,-132,172.692,0,0.207726,2019-04-09
376,ru1906                        ,130,2236,-12,17.782,0,0.205932,2019-04-09
377,ru1907                        ,0,448,0,0.0,0,0.205932,2019-04-09
378,ru1908                        ,2,238,2,0.362,0,0.205529,2019-04-09
379,ru1909                        ,688,11838,252,247.062,0,0.236735,2019-04-09
380,ru1910                        ,0,184,0,0.0,0,0.236735,2019-04-09
381,ru1911                        ,0,168,0,0.0,0,0.219124,2019-04-09
382,ru2001                        ,50,492,34,55.972,0,0.219124,2019-04-09
383,ru2003                        ,0,0,0,0.0,0,0.219124,2019-04-09
384,ru1905                        ,3108,15724,-140,279.86,0,0.208636,2019-04-10
385,ru1906                        ,474,2268,32,64.92,0,0.215644,2019-04-10
386,ru1907                        ,6,454,6,0.838,0,0.222205,2019-04-10
387,ru1908                        ,0,238,0,0.0,0,0.222205,2019-04-10
388,ru1909                        ,1434,12336,498,653.154,0,0.232904,2019-04-10
389,ru1910                        ,0,184,0,0.0,0,0.232904,2019-04-10
390,ru1911                        ,2,168,0,0.33,0,0.237927,2019-04-10
391,ru2001                        ,76,536,44,46.998,0,0.22895,2019-04-10
392,ru2003                        ,14,14,14,7.962,0,0.224904,2019-04-10
393,ru1905                        ,1462,15536,-188,282.906,14,0.191966,2019-04-11
394,ru1906                        ,360,2180,-88,44.562,0,0.20747,2019-04-11
395,ru1907                        ,0,454,0,0.0,0,0.20747,2019-04-11
396,ru1908                        ,0,238,0,0.0,0,0.244469,2019-04-11
